Name,Category,Author,Price,Series,Pages,Publisher,Date,Language,ISBN_10,ISBN_13,Dimensions,Weight
A Meeting of Minds and Bodies (Perseus Gate: Inner Stars) (Volume 1),Science Fiction : Space Opera,M. D. Cooper,$6.99,Perseus Gate: Inner Stars,134 pages,CreateSpace Independent Publishing Platform,"February 10, 2018",English,1985322390,978-1985322394,5.2 x 0.3 x 8 inches,7.5 ounces
Diplomatic Immunity: Special Edition,Science Fiction : Space Opera,Robert Sheckley,$7.99,,26 pages,CreateSpace Independent Publishing Platform,"February 22, 2018",English,1985748851,978-1985748859,6 x 0.1 x 9 inches,3 ounces
Planet X: Dawn of a New Age,Science Fiction : Space Opera,Allen Debe,$39.99,,516 pages,"DBEntertainment, LLC","February 16, 2018",English,0692045414,978-0692045411,6 x 1.3 x 9 inches,1.9 pounds
The Chenille Ultimatum: A Humorous Cozy Sci-Fi,Science Fiction : Space Opera,Lani Longshore and Ann Anastasio,$13.99,Chenille (Book 3),410 pages,Russian Hill Press,"February 1, 2018",English,0999516221,978-0999516225,5 x 0.9 x 8 inches,15.7 ounces
Man In The Moon,Science Fiction : Space Opera,Benedict Holmes,$9.99,,268 pages,Timberline Publications,"January 5, 2018",English,0999669206,978-0999669204,5.5 x 0.7 x 8.5 inches,14.6 ounces
The Hyperspace Trap,Science Fiction : Space Opera,Christopher Nuttall,$10.99,,400 pages,47North,"February 27, 2018",English,1503949095,978-1503949096,5.5 x 1 x 8.2 inches,14.1 ounces
Family Night on Union Station (EarthCent Ambassador),Science Fiction : Space Opera,E. M. Foner,$9.95,EarthCent Ambassador (Book 12),252 pages,Foner Books,"February 14, 2018",English,1948691019,978-1948691017,6 x 0.6 x 9 inches,13.4 ounces
The Black Star Passes: Large Print,Science Fiction : Space Opera,Jr. John W. Campbell,$17.99,,358 pages,CreateSpace Independent Publishing Platform,"February 4, 2018",English,1985009366,978-1985009363,8.5 x 0.8 x 11 inches,2.2 pounds
Invaders from the Infinite: Large Print,Science Fiction : Space Opera,Jr. John W. Campbell,$18.99,,350 pages,CreateSpace Independent Publishing Platform,"February 8, 2018",English,1985073897,978-1985073890,8.5 x 0.8 x 11 inches,2.2 pounds
Starfire: Memory's Blade (The Starfire Trilogy),Science Fiction : Space Opera,Spencer Ellsworth,$15.63,The Starfire Trilogy (Book 3),304 pages,Tor.com,"February 27, 2018",English,0765395770,978-0765395771,5.1 x 0.8 x 8.1 inches,9 ounces
Messinants (Pyreans) (Volume 2),Science Fiction : Space Opera,S. H. Jucha,$16.89,Pyreans,470 pages,S. H. Jucha; 1 edition,"February 25, 2018",English,0999492837,978-0999492833,6 x 1.2 x 9 inches,1.7 pounds
The Language of Power (Steerswoman Series) (Volume 4),Science Fiction : Space Opera,Rosemary Kirstein,$13.95,Steerswoman Series,292 pages,Rosemary Kirstein; 1 edition,"February 23, 2018",English,0991354672,978-0991354672,6 x 0.7 x 9 inches,1.1 pounds
Immaculate Killers (Guns of Seneca 6) (Volume 3),Science Fiction : Space Opera,Bernard Schaffer,$12.99,Guns of Seneca 6,176 pages,CreateSpace Independent Publishing Platform,"January 14, 2018",English,198387180X,978-1983871801,6 x 0.4 x 9 inches,11.4 ounces
Second Wave (The Amargosa Trilogy) (Volume 2),Science Fiction : Space Opera,TS Hottle,$10.99,The Amargosa Trilogy,252 pages,CreateSpace Independent Publishing Platform,"January 24, 2018",English,1984205242,978-1984205247,5.5 x 0.6 x 8.5 inches,13.6 ounces
The Star Hyacinths,Science Fiction : Space Opera,James H. Schmitz,$9.99,,62 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703243,978-1528703246,5.5 x 0.2 x 8.5 inches,3.2 ounces
Time Travel,Science Fiction : Space Opera,H. E. Sommers,$9.99,,280 pages,CreateSpace Independent Publishing Platform,"January 29, 2018",English,1984375768,978-1984375766,5 x 0.6 x 8 inches,13.1 ounces
The Winds of Time,Science Fiction : Space Opera,James H. Schmitz,$9.99,,52 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703251,978-1528703253,5.5 x 0.1 x 8.5 inches,2.9 ounces
Rastignac the Devil,Science Fiction : Space Opera,Philip Jos Farmer,$9.99,,74 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,152870343X,978-1528703437,5.5 x 0.2 x 8.5 inches,3.7 ounces
The Swordsman of Mars: Large Print,Science Fiction : Space Opera,Otis Adelbert Kline,$9.99,,180 pages,CreateSpace Independent Publishing Platform,"January 8, 2018",English,198345589X,978-1983455896,8.5 x 0.4 x 11 inches,1.2 pounds
The Port of Peril: Large Print,Science Fiction : Space Opera,Otis Adelbert Kline,$12.99,,214 pages,CreateSpace Independent Publishing Platform,"January 8, 2018",English,1983437409,978-1983437403,8.5 x 0.5 x 11 inches,1.4 pounds
Grey Legion (Genetic Legacy) (Volume 1),Science Fiction : Space Opera,Craig Johnson,$9.00,Genetic Legacy (Book 1),216 pages,CreateSpace Independent Publishing Platform; 1 edition,"January 24, 2018",English,1983460850,978-1983460852,6 x 0.5 x 9 inches,13.6 ounces
Sojourn: Apocalypse: Volume IV (Volume 4),Science Fiction : Space Opera,Fidus Jungsturm,$19.95,Sojourn,184 pages,CreateSpace Independent Publishing Platform,"January 2, 2018",English,1983488062,978-1983488061,8.5 x 0.4 x 11 inches,1.2 pounds
Supremacy's Shadow (Dueling Planets) (Volume 1),Science Fiction : Space Opera,T. Eric Bakutis,$14.99,Dueling Planets,316 pages,SF Productions,"January 13, 2018",English,0999693506,978-0999693506,6 x 0.7 x 9 inches,1.2 pounds
The Swordsman of Mars: Large Print,Science Fiction : Space Opera,Otis Adelbert Kline,$9.99,,214 pages,CreateSpace Independent Publishing Platform,"January 8, 2018",English,198345589X,978-1983455896,8.5 x 0.4 x 11 inches,1.2 pounds
The Port of Peril: Large Print,Science Fiction : Space Opera,Otis Adelbert Kline,$12.99,,214 pages,CreateSpace Independent Publishing Platform,"January 8, 2018",English,1983437409,978-1983437403,8.5 x 0.5 x 11 inches,1.4 pounds
HdW 051: Der Seelenberg: Die Reise in den Wahnsinn - und der erste HERR DER WELTEN! (Volume 51) (German Edition),Science Fiction : Space Opera,Erno Fischer,$5.95,HERR DER WELTEN (Book 51),68 pages,CreateSpace Independent Publishing Platform,"January 5, 2018",German,1983567302,978-1983567308,5.2 x 0.2 x 8 inches,4.6 ounces
Legion III: Kings of Oblivion (Deluxe Edition) (The Shattering) (Volume 3),Science Fiction : Space Opera,Van Allen Plexico,$15.95,The Shattering (Book 3),340 pages,CreateSpace Independent Publishing Platform; 3 edition,"January 6, 2018",English,1983637424,978-1983637421,6 x 0.8 x 9 inches,1.3 pounds
Flight of the Ko,Science Fiction : Space Opera,TJ Morris,$7.50,,108 pages,CreateSpace Independent Publishing Platform,"January 13, 2018",English,198375739X,978-1983757396,6 x 0.2 x 9 inches,7.5 ounces
The Voyages of Captain Kirn: Confederation Reborn 2 (Volume 2),Science Fiction : Space Opera,Bernard Schaffer and Tony Healey,$12.99,Confederation Reborn,234 pages,CreateSpace Independent Publishing Platform,"January 14, 2018",English,1983882801,978-1983882807,6 x 0.5 x 9 inches,14.7 ounces
Shadow Empire (The Alorian Wars) (Volume 4),Science Fiction : Space Opera,Drew Avera,$12.99,The Alorian Wars,282 pages,CreateSpace Independent Publishing Platform,"January 20, 2018",English,1984050044,978-1984050045,5 x 0.6 x 8 inches,13.1 ounces
Exoplanet Machine War,Science Fiction : Space Opera,H. E. Sommers,$12.80,,356 pages,CreateSpace Independent Publishing Platform,"January 30, 2018",English,1984915193,978-1984915191,5 x 0.8 x 8 inches,1 pounds
Void Wyrm: Magitech Chronicles Book 2 (Volume 2),Science Fiction : Space Opera,Chris Fox,$12.99,Magitech Chronicles,336 pages,CreateSpace Independent Publishing Platform,"January 12, 2018",English,1981186549,978-1981186549,5 x 0.8 x 8 inches,15.5 ounces
D'mok Revival: The Aloan Conspiracy,Science Fiction : Space Opera,Michael Zummo and Arlene Robinson,$6.00,,82 pages,CreateSpace Independent Publishing Platform,"January 12, 2018",English,1981220283,978-1981220281,5.1 x 0.2 x 7.8 inches,5 ounces
Dominion 1: The Guerrilla (Volume 1),Science Fiction : Space Opera,Jene Beal,$12.99,Dominion (Book 1),338 pages,CreateSpace Independent Publishing Platform; 1 edition,"January 10, 2018",English,1981470506,978-1981470501,5 x 0.8 x 8 inches,15.5 ounces
Cobra Traitor,Science Fiction : Space Opera,Timothy Zahn,$11.00,Cobra (Book 10),416 pages,Baen,"January 2, 2018",English,1481482807,978-1481482806,6.1 x 1.1 x 9.2 inches,13.4 ounces
The Skylark of Space,Science Fiction : Space Opera,E.E. "Doc" Smith and Lee Hawkins Garby,$14.99,,280 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703162,978-1528703161,5.5 x 0.6 x 8.5 inches,12.6 ounces
Triplanetary,Science Fiction : Space Opera,E.E. "Doc" Smith,$14.99,,294 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703170,978-1528703178,5.5 x 0.7 x 8.5 inches,13.3 ounces
The Ultimate Weapon,Science Fiction : Space Opera,John W. Campbell Jr.,$9.99,,106 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703294,978-1528703291,5.5 x 0.2 x 8.5 inches,5.1 ounces
The Door Through Space,Science Fiction : Space Opera,Marion Zimmer Bradley,$12.99,,140 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703308,978-1528703307,5.5 x 0.3 x 8.5 inches,6.6 ounces
The Planet of Doubt,Science Fiction : Space Opera,Stanley G. Weinbaum,$9.99,,42 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703383,978-1528703383,5.5 x 0.1 x 8.5 inches,2.4 ounces
The Red Peri,Science Fiction : Space Opera,Stanley G. Weinbaum,$9.99,,72 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703391,978-1528703390,5.5 x 0.2 x 8.5 inches,3.7 ounces
The K-Factor,Science Fiction : Space Opera,Harry Harrison,$9.99,,42 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703502,978-1528703505,5.5 x 0.1 x 8.5 inches,2.4 ounces
Deathworld 2: The Ethical Engineer,Science Fiction : Space Opera,Harry Harrison,$9.99,,148 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703499,978-1528703499,5.5 x 0.3 x 8.5 inches,6.9 ounces
Dark Matter: Code Red,Science Fiction : Space Opera,Taylor W Wilson,$9.99,Dark Matter,256 pages,CreateSpace Independent Publishing Platform; 1 edition,"January 9, 2018",English,1546681744,978-1546681748,5.5 x 0.6 x 8.5 inches,13.9 ounces
Gateway (Gateway Universe),Science Fiction : Space Opera,Brian Dorsey,$10.37,Gateway Universe (Book 1),396.0 pages,Mountaineer West Productions,"January 1, 2018",English,0692991417,978-0692991411,4.2 x 0.9 x 7 inches,10.4 ounces
The Empire (Volume 1),Science Fiction : Space Opera,John Reinhard Dizon,$7.63,,186 pages,CreateSpace Independent Publishing Platform,"January 12, 2018",English,1983689327,978-1983689321,6 x 0.4 x 9 inches,11.8 ounces
The Collapsing Empire (The Interdependency),Science Fiction : Space Opera,John Scalzi,$7.48,The Interdependency (Book 1),384 pages,Tor Science Fiction,"January 2, 2018",English,0765388901,978-0765388902,4.2 x 1 x 7.5 inches,8.8 ounces
Objects in Space,Science Fiction : Space Opera,J D Jacobson,$12.00,,298 pages,CreateSpace Independent Publishing Platform,"January 1, 2018",English,1981176659,978-1981176656,6 x 0.7 x 9 inches,1.1 pounds
A.I. Insurrection: The General's War,Science Fiction : Space Opera,Mr Michael Poeltl,$16.99,A.I. Insurrection,350 pages,CreateSpace Independent Publishing Platform; 1 edition,"January 31, 2018",English,1981490582,978-1981490585,6 x 0.9 x 9 inches,1.3 pounds
Ghost Fleet (Home World) (Volume 2),Science Fiction : Space Opera,Robert C Thomas,$11.99,Home World,258 pages,CreateSpace Independent Publishing Platform,"January 15, 2018",English,1983818771,978-1983818776,6 x 0.6 x 9 inches,15.8 ounces
Explorer: A Genesis Companion Novella,Science Fiction : Space Opera,Andreas Christensen,$7.99,,56 pages,CreateSpace Independent Publishing Platform,"January 19, 2018",English,198399264X,978-1983992643,5.5 x 0.1 x 8.5 inches,4.3 ounces
"Darklanding Omnibus Books 1-3: Assignment Darklanding, Ike Shot the Sheriff, & Outlaws (Darklanding Omnis) (Volume 1)",Science Fiction : Space Opera,Scott Moon and Craig Martelle,$12.99,Darklanding Omnis,270 pages,CreateSpace Independent Publishing Platform,"January 28, 2018",English,1984329332,978-1984329332,6 x 0.7 x 9 inches,1 pounds
Goddess of the Stars (Reptoid) (Volume 1),Science Fiction : Space Opera,Ronnie G. Anderson,$10.95,Reptoid,186 pages,CreateSpace Independent Publishing Platform,"January 30, 2018",English,198436863X,978-1984368638,6 x 0.4 x 9 inches,11.8 ounces
Time Travel,Science Fiction : Space Opera,H. E. Sommers,$10.75,,280 pages,CreateSpace Independent Publishing Platform,"January 29, 2018",English,1984375768,978-1984375766,5 x 0.6 x 8 inches,13.1 ounces
The Winds of Time,Science Fiction : Space Opera,James H. Schmitz,$9.99,,280 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703251,978-1528703253,5.5 x 0.1 x 8.5 inches,2.9 ounces
Roar of the Storm (The Fracture Worlds),Science Fiction : Space Opera,Adam Burch,$10.37,The Fracture Worlds (Book 2),412 pages,47North,"January 23, 2018",English,1611097436,978-1611097436,5.5 x 1 x 8.2 inches,14.7 ounces
Don't Let The Sun Go Brown,Science Fiction : Space Opera,Bryan James,$13.89,,230 pages,Mirador Publishing,"January 26, 2018",English,1912192918,978-1912192915,6 x 0.5 x 9 inches,12.2 ounces
The Scalpel (Feral Space) (Volume 1),Science Fiction : Space Opera,James Worrad,$15.99,Feral Space (Book 1),318 pages,Castrum Press,"January 23, 2018",English,1912327201,978-1912327201,6 x 0.7 x 9 inches,1.2 pounds
Legacy: Episode I: The Search for Love,Science Fiction : Space Opera,Robert Maxxim,$17.99,,410 pages,"Toplink Publishing, LLC","January 15, 2018",English,194855612X,978-1948556125,6 x 0.8 x 9 inches,1.2 pounds
Legacy,Science Fiction : Space Opera,James H. Schmitz,$14.99,,262 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703219,978-1528703215,5.5 x 0.6 x 8.5 inches,11.8 ounces
Points of Impact (Frontlines),Science Fiction : Space Opera,Marko Kloos,$10.37,Frontlines (Book 6),300 pages,47North,"January 9, 2018",English,154204846X,978-1542048460,5.5 x 1 x 8.2 inches,10.2 ounces
Omniorb: Consortium: Episode 1 (Volume 1),Science Fiction : Space Opera,Andrew M. Friday,$5.99,Consortium (Book 1),98 pages,CreateSpace Independent Publishing Platform; 1 edition,"January 1, 2018",English,1543005357,978-1543005356,5 x 0.2 x 8 inches,5.8 ounces
Guns of Seneca 6 (Volume 1),Science Fiction : Space Opera,Bernard Schaffer,$14.99,Guns of Seneca 6,730 pages,CreateSpace Independent Publishing Platform,"January 14, 2018",English,1983868752,978-1983868757,6 x 0.7 x 9 inches,1.1 pounds
"Guns of Seneca 6 Collected Saga: (3 Novels: Guns of Seneca 6, Magnificent Guns of Seneca 6, Immaculate Killers)",Science Fiction : Space Opera,Bernard Schaffer,$29.99,,730 pages,CreateSpace Independent Publishing Platform,"January 16, 2018",English,1983880361,978-1983880360,6 x 1.6 x 9 inches,2.6 pounds
Return Fire (Confederation Reborn) (Volume 1),Science Fiction : Space Opera,Bernard Schaffer,$12.99,Confederation Reborn,188 pages,CreateSpace Independent Publishing Platform,"January 14, 2018",English,1983882011,978-1983882012,6 x 0.4 x 9 inches,12 ounces
Lilith: Space Battle for Vega: Second Edition (The Lilith Sanders Series) (Volume 2),Science Fiction : Space Opera,Ehud Gat,$19.99,The Lilith Sanders Series,522 pages,CreateSpace Independent Publishing Platform; 2 edition,"January 21, 2018",English,198412370X,978-1984123701,6 x 1.2 x 9 inches,1.9 pounds
MIND: The Fracture (The MIND Series) (Volume 6),Science Fiction : Space Opera,Jenn Nixon,$12.99,The MIND Series (Book 6),298 pages,CreateSpace Independent Publishing Platform,"January 10, 2018",English,1981637532,978-1981637539,6 x 0.7 x 9 inches,1.1 pounds
Shadow Fleet (Rimrider Adventures) (Volume 4),Science Fiction : Space Opera,L. A. Kelley,$11.99,Rimrider Adventures (Book 4),322 pages,CreateSpace Independent Publishing Platform,"January 10, 2018",English,1981680128,978-1981680122,6 x 0.7 x 9 inches,1.2 pounds
Sojourn: In A Blaze of Honor and Glory: Volume III (Volume 3),Science Fiction : Space Opera,Fidus Jungsturm,$19.95,Sojourn,186 pages,CreateSpace Independent Publishing Platform,"January 2, 2018",English,1981893792,978-1981893799,8.5 x 0.4 x 11 inches,1.2 pounds
The Port of Peril: Large Print,Science Fiction : Space Opera,Otis Adelbert Kline,$12.99,,214 pages,CreateSpace Independent Publishing Platform,"January 8, 2018",English,1983437409,978-1983437403,8.5 x 0.5 x 11 inches,1.4 pounds
Deathworld,Science Fiction : Space Opera,Harry Harrison,$12.99,,202 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703472,978-1528703475,5.5 x 0.5 x 8.5 inches,9.3 ounces
Deathworld 2: The Ethical Engineer,Science Fiction : Space Opera,Harry Harrison,$12.99,,202 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703499,978-1528703499,5.5 x 0.3 x 8.5 inches,6.9 ounces
Earthborn: Book 1 of the Earthborn (Volume 1),Science Fiction : Space Opera,Adair Hart,$14.99,The Earthborn,350 pages,Quantum Edge Publishing,"January 21, 2018",English,0996717269,978-0996717267,5 x 0.9 x 8 inches,1 pounds
Crisis of Faith (Farsight),Science Fiction : Space Opera,Phil Kelly,$13.25,Farsight (Book 1),400 pages,Games Workshop,"January 9, 2018",English,178496624X,978-1784966249,5.1 x 1 x 7.8 inches,10.1 ounces
Dark Imperium,Science Fiction : Space Opera,Guy Haley,$11.00,Dark Imperium (Book 1),432 pages,Games Workshop,"January 23, 2018",English,1784966649,978-1784966645,5.1 x 1.1 x 7.8 inches,10.6 ounces
Cosmic Heirs: The Great Plan For Humanity (Volume 1),Science Fiction : Space Opera,Antonio Mello,$11.99,Cosmic Heirs,202 pages,CreateSpace Independent Publishing Platform; 1 edition,"January 2, 2018",English,1545434476,978-1545434475,6 x 0.5 x 9 inches,12.8 ounces
The Music of Mars,Science Fiction : Space Opera,George G. Moore,$15.99,,300 pages,Year of the Book Press,"January 7, 2018",English,1945670703,978-1945670701,6 x 0.8 x 9 inches,1.1 pounds
Subspace Survivors,Science Fiction : Space Opera,E.E. "Doc" Smith,$9.99,,56 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703146,978-1528703147,5.5 x 0.1 x 8.5 inches,2.9 ounces
The Status Civilization,Science Fiction : Space Opera,Robert Sheckley,$12.99,,176 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703324,978-1528703321,5.5 x 0.4 x 8.5 inches,8.2 ounces
Valley of Dreams,Science Fiction : Space Opera,Stanley G. Weinbaum,$9.99,,36 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703405,978-1528703406,5.5 x 0.1 x 8.5 inches,2.1 ounces
Beyond the Stars: Large Print,Science Fiction : Space Opera,Ray Cummings,$9.99,,172 pages,CreateSpace Independent Publishing Platform,"January 8, 2018",English,1983419532,978-1983419539,8.5 x 0.4 x 11 inches,1.1 pounds
A Brand New World: Large Print,Science Fiction : Space Opera,Ray Cummings,$12.99,,190 pages,CreateSpace Independent Publishing Platform,"January 8, 2018",English,1983419451,978-1983419454,8.5 x 0.4 x 11 inches,1.2 pounds
The Cosmic Computer: Large Print,Science Fiction : Space Opera,H. Beam Piper,$13.99,,228 pages,CreateSpace Independent Publishing Platform,"January 8, 2018",English,1983436054,978-1983436055,8.5 x 0.5 x 11 inches,1.5 pounds
Magnificent Guns of Seneca 6 (Volume 2),Science Fiction : Space Opera,Bernard Schaffer,$14.99,Guns of Seneca 6,298 pages,CreateSpace Independent Publishing Platform,"January 14, 2018",English,198387096X,978-1983870965,6 x 0.6 x 9 inches,1.1 pounds
Guns of Seneca 6 (Volume 1),Science Fiction : Space Opera,Bernard Schaffer,$14.99,Guns of Seneca 6,298 pages,CreateSpace Independent Publishing Platform,"January 14, 2018",English,1983868752,978-1983868757,6 x 0.7 x 9 inches,1.1 pounds
Privilege Abound,Science Fiction : Space Opera,Ms Ellen Elizabeth Dudley and Ms Margaret Weissman,$9.99,,160 pages,CreateSpace Independent Publishing Platform; 1 edition,"January 31, 2018",English,1984932683,978-1984932686,6 x 0.4 x 9 inches,10.6 ounces
The Dead Don't Believe (Federation Diplomat) (Volume 3),Science Fiction : Space Opera,E J Randolph,$12.99,Federation Diplomat,276 pages,CreateSpace Independent Publishing Platform; 2 edition,"January 26, 2018",English,1979352801,978-1979352802,5 x 0.6 x 8 inches,13 ounces
Tyche's Crown (Tyche's Journey) (Volume 3),Science Fiction : Space Opera,Richard Parry,$14.99,Tyche's Journey,314 pages,Mondegreen,"January 2, 2018",English,0995104166,978-0995104167,6 x 0.7 x 9 inches,1.2 pounds
Masters of Space,Science Fiction : Space Opera,E.E. "Doc" Smith and E. Everett Evans,$12.99,,274 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,152870312X,978-1528703123,5.5 x 0.4 x 8.5 inches,8.6 ounces
Diplomatic Immunity,Science Fiction : Space Opera,Robert Sheckley,$9.99,,38 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703316,978-1528703314,5.5 x 0.1 x 8.5 inches,2.2 ounces
The Door Through Space,Science Fiction : Space Opera,Marion Zimmer Bradley,$12.99,,156 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703308,978-1528703307,5.5 x 0.3 x 8.5 inches,6.6 ounces
The Colors of Space,Science Fiction : Space Opera,Marion Zimmer Bradley,$12.99,,156 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703421,978-1528703420,5.5 x 0.4 x 8.5 inches,7.4 ounces
Parasite Planet,Science Fiction : Space Opera,Stanley G. Weinbaum,$9.99,,46 pages,Vintage Sci-Fi Classics,"January 17, 2018",English,1528703456,978-1528703451,5.5 x 0.1 x 8.5 inches,2.6 ounces
Schlussel Des Lebens (German Edition),Science Fiction : Space Opera,Frank Anderhorst,$24.50,,344 pages,Books on Demand,"January 15, 2018",German,3746072557,978-3746072555,5 x 0.8 x 8 inches,13.1 ounces
Sojourn: Their Finest Hour: Volume V (Volume 5),Science Fiction : Space Opera,Fidus Jungsturm,$19.95,Sojourn,192 pages,CreateSpace Independent Publishing Platform,"January 24, 2018",English,1984163825,978-1984163820,8.5 x 0.4 x 11 inches,1.2 pounds
Missionary To The Stars: The Brethren Saga,Science Fiction : Space Opera,Stephen A Goodale,$15.00,,278 pages,CreateSpace Independent Publishing Platform; 1 edition,"January 31, 2018",English,1984364545,978-1984364548,6 x 0.6 x 9 inches,1.1 pounds
Tales From The Kurtherian Universe (Fans Write For Fans) (Volume 1),Science Fiction : Space Opera,Ian Nicholson and N. D. Roberts,$11.99,Fans Write For Fans,328 pages,CreateSpace Independent Publishing Platform,"January 30, 2018",English,1984915908,978-1984915900,5.2 x 0.8 x 8 inches,15.8 ounces
Infinity Engine: Transformation Book Three,Science Fiction : Space Opera,Neal Asher,$15.99,Transformation (Book 3),488 pages,Night Shade Books; First Trade Paper edition,"January 9, 2018",English,1597809101,978-1597809108,5.8 x 1.2 x 8.8 inches,1.2 pounds
A Brand New World: Large Print,Science Fiction : Space Opera,Ray Cummings,$12.99,,190 pages,CreateSpace Independent Publishing Platform,"January 8, 2018",English,1983419451,978-1983419454,8.5 x 0.4 x 11 inches,1.2 pounds
STAR GATE 171-172: Alarm auf Terra: Die Zukunft der Erde  und Angriff der Riesenlibellen! (STAR GATE  das Original) (German Edition),Science Fiction : Space Opera,Wilfried A. Hary and Werner K. Giesa,$8.95,STAR GATE - das Original,114 pages,CreateSpace Independent Publishing Platform,"January 2, 2018",German,1983461989,978-1983461989,5.2 x 0.3 x 8 inches,1.8 ounces
100 Space Opera Writing Prompts (Science Fiction Writing Series) (Volume 13),Science Fiction : Space Opera,Knatia Parson,$6.99,Science Fiction Writing Series,28 pages,CreateSpace Independent Publishing Platform,"January 4, 2018",English,1983490881,978-1983490880,5 x 0.1 x 8 inches,2.9 ounces
Legion I: Lords of Fire (Deluxe Edition) (The Shattering) (Volume 1),Science Fiction : Space Opera,Van Allen Plexico,$15.95,The Shattering (Book 1),308 pages,CreateSpace Independent Publishing Platform; 3 edition,"January 6, 2018",English,1983636304,978-1983636301,6 x 0.8 x 9 inches,1.2 pounds
Shoshone Station Omnibus (The Galactic Consortium),Science Fiction : Space Opera,Ms. R. J. Eliason,$22.00,The Galactic Consortium,660 pages,CreateSpace Independent Publishing Platform,"January 8, 2018",English,1983689378,978-1983689376,5.1 x 1.5 x 7.8 inches,1.8 pounds
The Gemini Hustle: Book One of The Zodiac Files (Volume 1),Science Fiction : Space Opera,Kathleen McClure and L. Gene Brown,$15.99,The Zodiac Files,444 pages,Fadge Press,"January 18, 2018",English,0996910212,978-0996910217,5.5 x 1.1 x 8.5 inches,1.4 pounds
The Final Resistance (Dark Universe) (Volume 3),Science Fiction : Space Opera,Alex Sheppard,$13.99,Dark Universe,384 pages,Dreamweaver Press; 1 edition,"January 28, 2018",English,0985646748,978-0985646745,5.5 x 1 x 8.5 inches,1.3 pounds
2: Shadow Worlds: A Space Opera Fantasy (Shadow Corps) (Volume 2),Science Fiction : Space Opera,Justin Sloan,$14.99,Shadow Corps,330 pages,CreateSpace Independent Publishing Platform,"December 2, 2017",English,1981330992,978-1981330997,5 x 0.8 x 8 inches,15.2 ounces
FREEDOM Sweeps,Science Fiction : Space Opera,Stephen Arseneault,$10.99,,276 pages,CreateSpace Independent Publishing Platform; 1st edition,"December 16, 2017",English,1981811230,978-1981811236,5.5 x 0.7 x 8.5 inches,14.9 ounces
The Path Amongst the Clouds (Perseus Gate Collections) (Volume 2),Science Fiction : Space Opera,M. D. Cooper,$16.99,Perseus Gate Collections,436 pages,CreateSpace Independent Publishing Platform,"December 24, 2017",English,1985453517,978-1985453517,5.2 x 1.1 x 8 inches,1.3 pounds
Fringe Campaign,Science Fiction : Space Opera,Rachel Aukes,$12.99,Fringe (Book 3),192.0 pages,Surprisingly Adequate Publishing,"December 22, 2017",English,0989901882,978-0989901888,5.5 x 0.4 x 8.5 inches,9.1 ounces
Pharaoh's Broker: Being the Very Remarkable Experiences in Another World of Isidor Werner (Written by Himself) (Classic Reprint),Science Fiction : Space Opera,Ellsworth Douglass,$13.57,,324 pages,Forgotten Books,"December 2, 2017",English,133140469X,978-1331404699,6 x 0.7 x 9 inches,15.4 ounces
"Into the Dark: Alexis Carew ,1",Science Fiction : Space Opera,J a Sutherland,$16.99,Alexis Carew (Book 1),310.0 pages,Darkspace Press,"December 22, 2017",English,1948500000,978-1948500005,6 x 0.7 x 9 inches,1 pounds
Starchild (Zenith Alpha 4013) (Volume 3),Science Fiction : Space Opera,Jilly Paddock,$15.00,Zenith Alpha 4013 (Book 3),304 pages,CreateSpace Independent Publishing Platform,"December 27, 2017",English,1982082755,978-1982082758,6 x 0.7 x 9 inches,1.2 pounds
"The Moon, Mars, and Beyond: Two Tales from the Coming Space Age",Science Fiction : Space Opera,Mr. Mark R Whittington,$10.99,,282 pages,CreateSpace Independent Publishing Platform,"December 29, 2017",English,198343180X,978-1983431807,6 x 0.6 x 9 inches,1.1 pounds
A Columbus of Space,Science Fiction : Space Opera,Garrett Putman Serviss,$10.97,,196 pages,CreateSpace Independent Publishing Platform,"December 30, 2017",English,1983437484,978-1983437489,6 x 0.4 x 9 inches,12.5 ounces
