ID,Name,Category,Author,Price,Series,Pages,Publisher,Date,Language,ISBN_10,ISBN_13,Dimensions,Weight
1,Agent to the Stars,Science Fiction - Space Opera,John Scalzi,$15.99,,368.0,Tor Books,March 2019,,1250176514,9781250176516,,
2,Treason,Science Fiction - Space Opera,Gun Brooke,$16.95,,,Bold Strokes Books,January 2019,,1635552443,9781635552447,,
3,Tales from Plexis,Science Fiction - Space Opera,Julie E. Czerneda,$16.00,,320.0,Daw Books,December 2018,,0756413931,9780756413934,,
4,The Emperor's Gift,Science Fiction - Space Opera,Aaron Dembski-Bowden,$12.16,,416.0,Games Workshop,December 2018,,1784968447,9781784968441,,
5,A Star Wheeled Sky,Science Fiction - Space Opera,Brad R. Torgersen,$12.80,,352.0,Baen,December 2018,,1481483625,9781481483629,,
6,The Magnificent Wilf,Science Fiction - Space Opera,Gordon R. Dickson,$16.00,,272.0,Baen,December 2018,,1481483633,9781481483636,,
7,Space Opera,Science Fiction - Space Opera,Catherynne M. Valente,$11.39,,304.0,Saga Press,December 2018,,1481497502,9781481497503,,
8,Blood Angels - The Complete Rafen Omnibus  :  The Complete Rafen Omnibus,Science Fiction - Space Opera,James Swallow,$21.00,,960.0,Games Workshop,December 2018,,1784968331,9781784968335,,
9,"""Legend of the Galactic Heroes, Vol. 8  :  Desolation""",Science Fiction - Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,,224.0,Haikasoru,December 2018,,1421585014,9781421585017,,
10,The Crimson King,Science Fiction - Space Opera,Graham McNeill,$9.99,,480.0,Games Workshop,December 2018,,178496834X,9781784968342,,
11,"""The Soldier  :  Rise of the Jain, Book One""",Science Fiction - Space Opera,Neal Asher,$12.79,,392.0,Night Shade Books,November 2018,,1597809616,9781597809610,,
12,Hokas Pokas,Science Fiction - Space Opera,Poul Anderson and Gordon R. Dickson,$12.80,,272.0,Baen,November 2018,,1481483579,9781481483575,,
13,The Warmaster,Science Fiction - Space Opera,Dan Abnett,$12.16,,432.0,Games Workshop,November 2018,,1784968145,9781784968144,,
14,The Voice of Mars,Science Fiction - Space Opera,David Guymer,$13.08,,432.0,Games Workshop,November 2018,,1784968080,9781784968083,,
15,Champions of the Third Planet,Science Fiction - Space Opera,Christopher Leone,$13.99,,240.0,Nerdist,November 2018,,1942645376,9781942645375,,
16,Legacy of Dorn,Science Fiction - Space Opera,Mike Lee,$14.05,,416.0,Games Workshop,October 2018,,1784967777,9781784967772,,
17,Wolfsbane,Science Fiction - Space Opera,Guy Haley,$14.86,,432.0,Games Workshop,October 2018,,1784967793,9781784967796,,
18,Probability Shadow,Science Fiction - Space Opera,Mark Laporta,$9.22,,248.0,Chickadee Prince Books,October 2018,,0999756923,9780999756928,9 x 6 x 0.52 inches,0.74 pounds
19,Imperator  :  Wrath of the Omnissiah: Wrath of the Omnissiah,Science Fiction - Space Opera,Gav Thorpe,$12.95,,368.0,Games Workshop,October 2018,,1784967785,9781784967789,,
20,There Before the Chaos,Science Fiction - Space Opera,K. B. Wagers,$11.99,,432.0,Orbit,October 2018,,0316411213,9780316411219,,
21,The Quantum Magician,Science Fiction - Space Opera,Derek Kunsken,$11.99,,480.0,Solaris,October 2018,,1781085706,9781781085707,,
22,Outer Dark,Science Fiction - Space Opera,Robbie MacNiven,$13.11,,400.0,Games Workshop,September 2018,,1784967718,9781784967710,,
23,Deep Blue,Science Fiction - Space Opera,Jane O'Reilly,$22.99,,336.0,Piatkus,September 2018,,0349416621,9780349416625,,
24,Watchers of the Throne  :  The Emperor's Legion,Science Fiction - Space Opera,Chris Wraight,$13.11,,352.0,Games Workshop,September 2018,,178496767X,9781784967673,,
25,Challenger's Hope,Science Fiction - Space Opera,David Feintuch,$12.95,,405.0,Open Road Media Science & Fantasy,September 2018,,1504052900,9781504052900,,
26,Daughters of Forgotten Light,Science Fiction - Space Opera,Sean Grigs,$9.87,,400.0,Angry Robot,September 2018,,0857667955,9780857667953,,
27,Invaders Plan  :  Soltan Gris Confesses Crimes,Science Fiction - Space Opera,L. Ron Hubbard,$15.95,,768.0,Galaxy Press (CA),June 2018,,1619865300,9781619865303,1 x 6 x 9 inches,
28,Of Honour and Iron,Science Fiction - Space Opera,Ian St Martin,$13.27,,352.0,Games Workshop,September 2018,,1784967688,9781784967680,,
29,Beyond the Gates of Antares  :  Void Protocol,Science Fiction - Space Opera,Riley O'Connor,$14.69,,320.0,Zmok Books,September 2018,,1945430710,9781945430718,,
30,The Game of Luck,Science Fiction - Space Opera,Catherine Cerveny,$14.20,,384.0,Orbit,September 2018,,031644166X,9780316441667,,
31,The Madness of Mr. Butler,Science Fiction - Space Opera,Michael Haase,$13.99,,240.0,Inkshares,September 2018,,1942645392,9781942645399,,
32,The Accidental War,Science Fiction - Space Opera,Walter Jon Williams,$16.99,,560.0,Voyager,September 2018,,0062467026,9780062467027,,
33,The Burden of Loyalty,Science Fiction - Space Opera,Laurie Goulding,$18.00,,432.0,Games Workshop,August 2018,,1784967521,9781784967529,,
34,The Million,Science Fiction - Space Opera,Karl Schroeder,$14.99,,192.0,Tor.com,August 2018,,1250185424,9781250185426,,
35,"""Legend of the Galactic Heroes, Vol. 7  :  Tempest""",Science Fiction - Space Opera,Yoshiki Tanaka and Daniel Huddleston,$15.99,,224.0,Haikasoru,August 2018,,1421585294,9781421585291,,
36,Noumenon Infinity,Science Fiction - Space Opera,Marina J. Lostetter,$16.99,,496.0,Voyager,August 2018,,0062497863,9780062497864,,
37,Irontown Blues,Science Fiction - Space Opera,John Varley,$12.16,,304.0,Ace Books,August 2018,,1101989378,9781101989371,8 x 5.13 x 0.75 inches,0.55 pounds
38,Servants of the Machine God,Science Fiction - Space Opera,Various,$16.00,,416.0,Games Workshop,August 2018,,1784967599,9781784967598,,
39,Exile's Throne  :  The Empress Game Trilogy 3,Science Fiction - Space Opera,Rhonda Mason,$14.95,,352.0,Titan Books (UK),August 2018,,1783299452,9781783299454,,0.81 pounds
40,Knightsblade,Science Fiction - Space Opera,Andy Clark,$16.00,,400.0,Games Workshop,August 2018,,1784967548,9781784967543,,
41,War for Armageddon  :  The Omnibus,Science Fiction - Space Opera,Various,$21.00,,880.0,Games Workshop,August 2018,,1784967556,9781784967550,,
42,Lukas the Trickster,Science Fiction - Space Opera,Josh Reynolds,$16.00,,344.0,Games Workshop,August 2018,,1784967564,9781784967567,,
43,Ghosts of War  :  Retribution,Science Fiction - Space Opera,Paul Robinson,$14.99,,,Quill,July 2018,,1947848909,9781947848900,,
44,Assault on Black Reach,Science Fiction - Space Opera,Nick Kyme,$5.00,,128.0,Games Workshop,July 2018,,1784967475,9781784967475,,
45,Condomnauts,Science Fiction - Space Opera,Yoss and David Frye,$12.45,,176.0,Restless Books,July 2018,,1632061864,9781632061867,,
46,Sin of Damnation,Science Fiction - Space Opera,Gav Thorpe,$5.00,,128.0,Games Workshop,July 2018,,1784967483,9781784967482,,
47,Wolf King,Science Fiction - Space Opera,Chris Wraight,$5.00,,128.0,Games Workshop,July 2018,,1784967491,9781784967499,,
48,Crusade,Science Fiction - Space Opera,Andy Clark,$5.00,,128.0,Games Workshop,July 2018,,1784967467,9781784967468,,
49,Space Unicorn Blues,Science Fiction - Space Opera,Tj Berry,$12.99,,400.0,Angry Robot,July 2018,,0857667815,9780857667816,,
50,Record of a Spaceborn Few,Science Fiction - Space Opera,Becky Chambers,$16.99,,400.0,Voyager,July 2018,,0062699229,9780062699220,,
51,Black Legion,Science Fiction - Space Opera,Aaron Dembski-Bowden,$16.00,,368.0,Games Workshop,July 2018,,178496753X,9781784967536,,
52,Sons of the Hydra,Science Fiction - Space Opera,Rob Sanders,$13.91,,352.0,Games Workshop,July 2018,,1784967319,9781784967314,,
53,Enforcer  :  The Shira Calpurnia Omnibus,Science Fiction - Space Opera,Matthew Farrer,$21.00,,816.0,Games Workshop,July 2018,,1784967327,9781784967321,,
54,"""The Hidden World (Imperials ,3)""",Science Fiction - Space Opera,Melinda Snodgrass,$14.95,,356.0,Titan Books (UK),July 2018,,1783295864,9781783295869,,0.81 pounds
55,Resurrection,Science Fiction - Space Opera,John French,$16.00,,368.0,Games Workshop,July 2018,,1784967289,9781784967284,,
56,Castellan,Science Fiction - Space Opera,David Annandale,$12.88,,336.0,Games Workshop,July 2018,,1784967300,9781784967307,,
57,War of Secrets,Science Fiction - Space Opera,Phil Kelly,$16.00,,416.0,Games Workshop,June 2018,,1784967092,9781784967093,,
58,Hybrid Child,Science Fiction - Space Opera,Mariko Ohara and Jodie Beck,$19.95,,304.0,University of Minnesota Press,June 2018,,1517904900,9781517904906,8.5 x 5.5 x 1.5 inches,
59,Reverse Abduction,Science Fiction - Space Opera,Eve Langlais,$9.99,,152.0,Eve Langlais,June 2018,,1988328896,9781988328898,8 x 5 x 0.35 inches,0.38 pounds
60,Best of British Science Fiction 2017,Science Fiction - Space Opera,Donna Scott and Ken MacLeod and Lavie Tidhar,$15.99,,282.0,Newcon Press,June 2018,,1910935735,9781910935736,8.27 x 5.83 x 0.64 inches,0.82 pounds
61,Revenant Gun  :  N/A,Science Fiction - Space Opera,Yoon Ha Lee,$9.99,,400.0,Solaris,June 2018,,1781086079,9781781086070,,
62,2312,Science Fiction - Space Opera,Kim Stanley Robinson,$16.99,,576.0,Orbit,June 2018,,0316526983,9780316526982,,
63,Yarrick  :  The Omnibus,Science Fiction - Space Opera,David Annandale,$21.00,,816.0,Games Workshop,June 2018,,1784967106,9781784967109,,
64,Old Earth,Science Fiction - Space Opera,Nick Kyme,$13.68,,400.0,Games Workshop,June 2018,,1784967122,9781784967123,,
65,Brothers in Arms,Science Fiction - Space Opera,Lois McMaster Bujold,$16.00,,336.0,Baen,June 2018,,1481483315,9781481483315,,
66,Clonelord,Science Fiction - Space Opera,Josh Reynolds,$16.00,,432.0,Games Workshop,June 2018,,1784967076,9781784967079,,
67,Free Chocolate,Science Fiction - Space Opera,Amber Royer,$12.99,,,Angry Robot,June 2018,,0857667505,9780857667502,,
68,"""The Year's Best Military and Adventure SF, Volume 4""",Science Fiction - Space Opera,David Afsharirad,$16.00,,336.0,Baen,June 2018,,1481483323,9781481483322,,
69,The Freeze-Frame Revolution,Science Fiction - Space Opera,Peter Watts,$14.95,,192.0,Tachyon Publications,June 2018,,1616962526,9781616962524,,
70,Aurora,Science Fiction - Space Opera,Kim Stanley Robinson,$12.57,,480.0,Orbit,June 2018,,0316526991,9780316526999,,
71,Blue Shift  :  A Thrilling Alien Space Adventure with an Unforgettable New Heroine,Science Fiction - Space Opera,Jane O'Reilly,$13.99,,336.0,Piatkus,June 2018,,0349416583,9780349416588,,
72,A Big Ship at the Edge of the Universe,Science Fiction - Space Opera,Alex White,$15.99,,480.0,Orbit,June 2018,,0316412066,9780316412063,,
73,Ghost Warrior,Science Fiction - Space Opera,Gav Thorpe,$16.00,,368.0,Games Workshop,May 2018,,1784966754,9781784966751,,
74,The Last Hunt,Science Fiction - Space Opera,Robbie MacNiven,$12.16,,432.0,Games Workshop,May 2018,,1784966924,9781784966928,,
75,Avengers of the Moon  :  A Captain Future Novel,Science Fiction - Space Opera,Allen Steele,$16.99,,304.0,Tor Books,April 2018,,0765382199,9780765382191,,
76,The Glory of the Empress,Science Fiction - Space Opera,Sean Danker,$16.00,,352.0,Ace Books,May 2018,,039958708X,9780399587085,0.78 x 5.12 x 8 inches,
77,Afterwar,Science Fiction - Space Opera,Lilith Saintcrow,$15.99,,416.0,Orbit,May 2018,,0316558249,9780316558242,,
78,Infinite Stars,Science Fiction - Space Opera,Bryan Thomas Schmidt and David Weber and Brian Herbert,$19.95,,400.0,Titan Books (UK),May 2018,,1785654586,9781785654589,,0.81 pounds
79,Oblivion,Science Fiction - Space Opera,Steve White and Charles E. Gannon,$16.00,,336.0,Baen,May 2018,,1481483250,9781481483254,,
80,The Traveler's Cup,Science Fiction - Space Opera,Ac Baldwin,$13.99,,,Quill,May 2018,,1947848232,9781947848238,,
81,Salamanders  :  The Omnibus,Science Fiction - Space Opera,Nick Kyme,$21.00,,960.0,Games Workshop,May 2018,,1784966908,9781784966904,,
82,The Carrion Throne,Science Fiction - Space Opera,Chris Wraight,$16.00,,384.0,Games Workshop,May 2018,,1784966916,9781784966911,,
83,Odysseus Ascendant,Science Fiction - Space Opera,Evan Currie,$11.80,,304.0,47north,May 2018,,1503901076,9781503901070,,
84,The Viridian Convict,Science Fiction - Space Opera,Sam York,$14.99,,248.0,North Star Editions,April 2018,,1635839041,9781635839043,,
85,Sleepwalker's World,Science Fiction - Space Opera,Gordon R. Dickson,$16.00,,192.0,Baen,April 2018,,1481483161,9781481483162,,
86,Lightyears Trilogy,Science Fiction - Space Opera,Troy D. Wymer,$18.24,,410.0,Bookbaby,April 2018,,154392459X,9781543924596,,
87,Radiate,Science Fiction - Space Opera,C. A. Higgins,$16.00,,336.0,Del Rey Books,April 2018,,0553394509,9780553394504,,
88,Slab City Blues  :  The Collected Stories,Science Fiction - Space Opera,Anthony Ryan,$14.99,,432.0,Andrew McNamara,April 2018,,1527221873,9781527221871,8.5 x 5.51 x 0.88 inches,1.09 pounds
89,The Best Science Fiction of the Year  :  Volume Three,Science Fiction - Space Opera,Neil Clarke,$17.99,,624.0,Night Shade Books,April 2018,,1597809365,9781597809368,9 x 6 x 1.8 inches,1.6 pounds
90,Warlord  :  Fury of the God-Machine,Science Fiction - Space Opera,David Annandale,$16.00,,352.0,Games Workshop,April 2018,,1784966827,9781784966829,,
91,Space Drifters  :  The Ghost Ship,Science Fiction - Space Opera,Paul Regnier,$15.99,,304.0,Enclave,April 2018,,1683700821,9781683700821,,
92,Treasures from Afar,Science Fiction - Space Opera,Troy D. Wymer,$10.94,,142.0,Bookbaby,April 2018,,1543924611,9781543924619,,
93,Cold Planet,Science Fiction - Space Opera,Brian Dorsey,$11.75,,290.0,Mountaineer West Productions,April 2018,,0692067736,9780692067734,7 x 4.25 x 0.65 inches,0.52 pounds
94,First Mate's Accidental Wife,Science Fiction - Space Opera,Eve Langlais,$8.99,,150.0,Eve Langlais,April 2018,,1773840045,9781773840048,8 x 5 x 0.35 inches,0.37 pounds
95,"""Legend of the Galactic Heroes, Vol. 6  :  Flight""",Science Fiction - Space Opera,Yoshiki Tanaka and Tyran Grillo,$15.99,,224.0,Haikasoru,April 2018,,1421584999,9781421584997,,
96,Ruinstorm,Science Fiction - Space Opera,David Annandale,$18.00,,384.0,Games Workshop,April 2018,,178496672X,9781784966720,,
97,A Trial by Error,Science Fiction - Space Opera,Susan Eschbach,$11.99,,274.0,Fleet Press,March 2018,,1633732991,9781633732995,9.02 x 5.98 x 0.62 inches,0.89 pounds
98,Cadia Stands,Science Fiction - Space Opera,Justin D. Hill,$11.84,,320.0,Games Workshop,March 2018,,1784966681,9781784966683,7.7 x 5.1 x 1 inches,0.5 pounds
99,Star Destroyers,Science Fiction - Space Opera,Tony Daniel and Christopher Ruocchio,$16.00,,336.0,Baen,March 2018,,1481483099,9781481483094,9.1 x 6.1 x 1 inches,0.8 pounds
100,The Tortuous Path,Science Fiction - Space Opera,G. P. Hudson,$14.99,,342.0,Createspace Independent Publishing Platform,March 2018,,1986031330,9781986031332,9 x 6 x 0.71 inches,1.01 pounds
101,Neptune's War  :  Book Three of the Earth Dawning Series,Science Fiction - Space Opera,Nick Webb,$18.99,,424.0,Createspace Independent Publishing Platform,March 2018,,1986245934,9781986245937,8 x 5 x 0.94 inches,1.01 pounds
102,The Ashes of Prospero,Science Fiction - Space Opera,Gav Thorpe,$16.00,,352.0,Games Workshop,March 2018,,1784966452,9781784966454,7.7 x 5.1 x 0.9 inches,0.55 pounds
103,The Magos,Science Fiction - Space Opera,Dan Abnett,$12.70,,720.0,Games Workshop,March 2018,,1784967025,9781784967024,7.7 x 5.1 x 1.7 inches,1 pounds
104,Shoot the Messenger,Science Fiction - Space Opera,Pippa Dacosta,$12.99,,324.0,Pippa Dacosta Author,March 2018,,0995711321,9780995711327,8 x 5 x 0.73 inches,0.78 pounds
105,Void Black Shadow,Science Fiction - Space Opera,Corey J. White,$14.99,,224.0,Tor.com,March 2018,,0765396939,9780765396938,7.9 x 5 x 0.6 inches,0.3 pounds
106,Final Reckoning,Science Fiction - Space Opera,Jeffery L. Cheney and Craig J. Cheney and Jared L. Cheney,$14.99,,398.0,7 CS Books,March 2018,,1939223083,9781939223081,9.02 x 5.98 x 0.82 inches,1.17 pounds
107,Die Androiden,Science Fiction - Space Opera,Walter Guttropf,$36.90,,368.0,Books on Demand,March 2018,,3746002257,9783746002255,8 x 5 x 0.76 inches,0.8 pounds
108,New York 2140,Science Fiction - Space Opera,Kim Stanley Robinson,$13.46,,656.0,Orbit,March 2018,,0316262315,9780316262316,8.2 x 5.4 x 1.8 inches,1.15 pounds
109,The Glass Blade,Science Fiction - Space Opera,Ryan Wieser,$15.00,,192.0,Kensington Publishing Corporation,March 2018,,1635730295,9781635730296,8.5 x 5.5 x 0.44 inches,0.55 pounds
110,Kris Longknife's Replacement  :  Admiral Santiago on Alwa Station,Science Fiction - Space Opera,Mike Shepherd,$9.99,,256.0,Kl & MM Books,March 2018,,1642110027,9781642110029,9.02 x 5.98 x 0.54 inches,0.76 pounds
111,Kris Longknife's Relief  :  Grand Admiral Santiago on Alwa Station,Science Fiction - Space Opera,Mike Shepherd,$11.99,,300.0,Kl & MM Books,March 2018,,1642110043,9781642110043,9.02 x 5.98 x 0.63 inches,0.89 pounds
112,Sins of Her Father,Science Fiction - Space Opera,Mike Kupari,$16.00,,352.0,Baen,March 2018,,1481482831,9781481482837,9.1 x 6.1 x 0.9 inches,0.8 pounds
113,The Measurements of Decay,Science Fiction - Space Opera,K. K. Edin,$19.99,,588.0,Metempsy Publications,March 2018,,1732062226,9781732062221,9 x 6 x 1.31 inches,1.88 pounds
114,Advocate  :  Consortium: Episode 2,Science Fiction - Space Opera,Andrew M. Friday,$6.80,,128.0,Createspace Independent Publishing Platform,March 2018,,1543005241,9781543005240,8 x 5 x 0.27 inches,0.29 pounds
115,Spellship  :  Magitech Chronicles Book 3,Science Fiction - Space Opera,Chris Fox,$12.99,,344.0,Createspace Independent Publishing Platform,March 2018,,1985826402,9781985826403,8 x 5 x 0.72 inches,0.75 pounds
116,Nepenthe Rising,Science Fiction - Space Opera,John Triptych,$16.99,,464.0,Createspace Independent Publishing Platform,March 2018,,1986277682,9781986277686,8 x 5 x 1.03 inches,1.1 pounds
117,Amazing Grace  :  Book Three of the Grace Lord Series,Science Fiction - Space Opera,S. E. Sasaki,$16.99,,358.0,S.E. Sasaki,March 2018,,0994790554,9780994790552,8.5 x 5.51 x 0.8 inches,1 pounds
118,Flotsam,Science Fiction - Space Opera,R. J. Theodore and John Adamus,$14.99,,410.0,Parvus Press LLC,March 2018,,0997661372,9780997661378,8.5 x 5.5 x 0.91 inches,1.14 pounds
119,Rocket Babe  :  Reflection,Science Fiction - Space Opera,Stephen R. Dearman,$15.95,,266.0,Outskirts Press,March 2018,,1478796472,9781478796473,9 x 6 x 0.6 inches,0.87 pounds
120,The Soul Eater,Science Fiction - Space Opera,Mike Resnick,$14.99,,184.0,Wordfire Press LLC,March 2018,,1614753318,9781614753315,8.5 x 5.51 x 0.42 inches,0.53 pounds
121,Cult of the Spiral Dawn,Science Fiction - Space Opera,Peter Fehervari,$16.00,,336.0,Games Workshop,March 2018,,1784966657,9781784966652,7.8 x 5.1 x 0.8 inches,0.5 pounds
122,Dante,Science Fiction - Space Opera,Guy Haley,$16.00,,368.0,Games Workshop,March 2018,,1784966665,9781784966669,7.7 x 5.1 x 1 inches,0.55 pounds
123,Kris Longknife Emissary,Science Fiction - Space Opera,Mike Shepherd,$12.99,,354.0,Kl & MM Books,March 2018,,1642110000,9781642110005,9.02 x 5.98 x 0.74 inches,1.04 pounds
124,"""Daisy Ridley Adult Coloring Book  :  Rey from Star Wars Reboot and Cute Acress, Future Star and Acting Wonderkid Inspired Adult Coloring Book""",Science Fiction - Space Opera,Elizabeth Watson,$10.00,,38.0,Createspace Independent Publishing Platform,March 2018,,1986268225,9781986268226,9 x 6 x 0.08 inches,0.14 pounds
125,The Greatest Story Ever Told,Science Fiction - Space Opera,Una McCormack,$7.99,,116.0,Newcon Press,March 2018,,1910935689,9781910935682,8.27 x 5.83 x 0.28 inches,0.35 pounds
126,Vexing the Beast,Science Fiction - Space Opera,V. Joseph Guy,$18.00,,518.0,Createspace Independent Publishing Platform,March 2018,,1975604393,9781975604394,9.02 x 5.98 x 1.15 inches,1.66 pounds
127,Signal to Noise,Science Fiction - Space Opera,Talya Andor,$16.99,,312.0,Less Than Three Press,March 2018,,1684312558,9781684312559,8 x 5 x 0.7 inches,0.75 pounds
128,Rita Longknife  :  Enemy Unknown: Book 1 of the Iteeche War,Science Fiction - Space Opera,Mike Shepherd,$9.99,,230.0,Kl & MM Books,March 2018,,164211006X,9781642110067,9 x 6 x 0.48 inches,0.69 pounds
129,Rita Longknife  :  Enemy in Sight: Book 2 of the Iteeche War,Science Fiction - Space Opera,Mike Shepherd,$9.99,,242.0,Kl & MM Books,March 2018,,1642110086,9781642110081,9 x 6 x 0.51 inches,0.72 pounds
130,Neutron Dragon Attack  :  A Paranormal Space Opera Adventure,Science Fiction - Space Opera,Aaron Crash,$14.99,,366.0,Createspace Independent Publishing Platform,March 2018,,198631894X,9781986318945,7.99 x 5.24 x 0.82 inches,0.92 pounds
131,The Warrior Within,Science Fiction - Space Opera,Angus McIntyre,$14.99,,176.0,Tor.com,March 2018,,0765397102,9780765397102,7.9 x 5.1 x 0.5 inches,0.3 pounds
132,Rise of Aen,Science Fiction - Space Opera,Damian Shishkin and Nicole Logan,$22.49,,448.0,FriesenPress,February 2018,,1460238613,9781460238615,9 x 6 x 1 inches,1.44 pounds
133,Tallarn,Science Fiction - Space Opera,John French,$13.31,,432.0,Games Workshop,February 2018,,1784966401,9781784966409,9 x 6 x 1.4 inches,1.25 pounds
134,The Faultless Blade,Science Fiction - Space Opera,Ian St Martin,$11.84,,368.0,Games Workshop,February 2018,,178496641X,9781784966416,7.8 x 5.3 x 1 inches,0.55 pounds
135,Lander,Science Fiction - Space Opera,J. Scott Coatsworth,$16.99,,294.0,Dreamspinner Press,February 2018,,1640804773,9781640804777,9.02 x 5.98 x 0.62 inches,0.87 pounds
136,"""There Is No Peace  :  The EOS Chronicles, Book One""",Science Fiction - Space Opera,Shale Magnus Prange,$15.99,,330.0,Createspace Independent Publishing Platform,February 2018,,1977816231,9781977816238,8.5 x 5.51 x 0.74 inches,0.92 pounds
137,The Black Star Passes  :  Large Print,Science Fiction - Space Opera,Jr. John W. Campbell,$17.99,,358.0,Createspace Independent Publishing Platform,February 2018,,1985009366,9781985009363,11 x 8.5 x 0.74 inches,1.83 pounds
138,The Chapter Ends  :  Large Print,Science Fiction - Space Opera,Poul Anderson,$10.99,,58.0,Createspace Independent Publishing Platform,February 2018,,1985009617,9781985009615,11 x 8.5 x 0.12 inches,0.35 pounds
139,Islands of Space  :  Large Print,Science Fiction - Space Opera,Jr. John W. Campbell,$18.99,,334.0,Createspace Independent Publishing Platform,February 2018,,1985009730,9781985009738,11 x 8.5 x 0.7 inches,1.71 pounds
140,"""J.J Abrams Inspired Adult Coloring Book  :  Star Wars and Star Trek MasterMind, Emmy Award Winner and a List Director Inspired Adult Coloring Book""",Science Fiction - Space Opera,Minnie Miller,$10.00,,36.0,Createspace Independent Publishing Platform,February 2018,,1985157187,9781985157187,9 x 6 x 0.07 inches,0.14 pounds
141,Pursuit,Science Fiction - Space Opera,Val St Crowe,$12.99,,302.0,Createspace Independent Publishing Platform,February 2018,,1985208695,9781985208698,8.5 x 5.5 x 0.68 inches,0.85 pounds
142,Dominion 3  :  The Cadet,Science Fiction - Space Opera,Jene Beal,$10.99,,262.0,Createspace Independent Publishing Platform,February 2018,,1985648490,9781985648494,7.99 x 5 x 0.55 inches,0.58 pounds
143,Sunset Over Abendau,Science Fiction - Space Opera,Jo Zebedee,$14.00,,290.0,Createspace Independent Publishing Platform,February 2018,,1985713764,9781985713765,9.02 x 5.98 x 0.65 inches,0.94 pounds
144,A Prince of Mars,Science Fiction - Space Opera,Rob Dorsey and Robin P. Dorsey,$24.95,,558.0,"""Copper Creek Press, LLC""",February 2018,,0986313602,9780986313608,9 x 6 x 1.24 inches,1.78 pounds
145,Dark Universe,Science Fiction - Space Opera,Eugene Peterson and Milton Davis,$21.95,,396.0,"""Mvmedia, LLC""",February 2018,,0996016783,9780996016780,9 x 6 x 0.88 inches,1.28 pounds
146,Book Night on Union Station,Science Fiction - Space Opera,E. M. Foner,$9.95,,258.0,Foner Books,February 2018,,1948691027,9781948691024,9 x 6 x 0.58 inches,0.84 pounds
147,Gloriana,Science Fiction - Space Opera,Amy P. Shaw,$16.00,,422.0,Createspace Independent Publishing Platform,February 2018,,1984391453,9781984391452,9 x 6 x 0.94 inches,1.36 pounds
148,The Galaxy Primes  :  Large Print,Science Fiction - Space Opera,E. E. Smith,$16.99,,378.0,Createspace Independent Publishing Platform,February 2018,,198500917X,9781985009172,11 x 8.5 x 0.78 inches,1.93 pounds
149,The Vortex Blaster  :  Large Print,Science Fiction - Space Opera,E. E. Smith,$7.99,,66.0,Createspace Independent Publishing Platform,February 2018,,1985009749,9781985009745,11 x 8.5 x 0.14 inches,0.39 pounds
150,Subspace Survivors  :  Large Print,Science Fiction - Space Opera,E. E. Smith,$7.99,,88.0,Createspace Independent Publishing Platform,February 2018,,1985073935,9781985073937,11 x 8.5 x 0.18 inches,0.5 pounds
151,Freedom Arena,Science Fiction - Space Opera,Stephen Arseneault,$10.99,,288.0,Createspace Independent Publishing Platform,February 2018,,1985648105,9781985648104,8.5 x 5.5 x 0.65 inches,0.81 pounds
152,Abendau's Heir,Science Fiction - Space Opera,Jo Zebedee,$13.99,,318.0,Createspace Independent Publishing Platform,February 2018,,1985713373,9781985713376,9.02 x 5.98 x 0.71 inches,1.03 pounds
153,The Last Narkoy  :  Oslo,Science Fiction - Space Opera,Elizabeth Price,$12.99,,238.0,Createspace Independent Publishing Platform,February 2018,,1985760401,9781985760400,9.02 x 5.98 x 0.5 inches,0.71 pounds
154,Exile & Entrance  :  A Xiles Novel,Science Fiction - Space Opera,Patrick Thomas,$16.00,,292.0,Padwolf Publishing,February 2018,,1890096741,9781890096748,9.02 x 5.98 x 0.61 inches,0.87 pounds
155,Starship Conquest,Science Fiction - Space Opera,David Vandyke,$9.95,,224.0,David Vandyke,February 2018,,162626239X,9781626262393,8 x 5.25 x 0.51 inches,0.57 pounds
156,The Gabriel Chronicles  :  The Superiors,Science Fiction - Space Opera,Dennis Flannery,$20.99,,300.0,iUniverse,February 2018,,1532042302,9781532042300,9.02 x 5.98 x 0.67 inches,0.97 pounds
157,Paradies 4.0,Science Fiction - Space Opera,Barry Redhead,$25.50,,306.0,Twentysix,February 2018,,3740743549,9783740743543,8.27 x 5.83 x 0.69 inches,0.89 pounds
158,Star Seeker Perils of Pyrax  :  Novels of the Third Colonial Wars,Science Fiction - Space Opera,III E. W. Finch and IV Wesley Finch,$15.95,,340.0,Createspace Independent Publishing Platform,February 2018,,1986039595,9781986039598,9 x 6 x 0.71 inches,1 pounds
159,Gaia Rising,Science Fiction - Space Opera,C. L. Roman,$12.99,,270.0,Createspace Independent Publishing Platform,February 2018,,198368242X,9781983682421,9 x 6 x 0.61 inches,0.88 pounds
160,"""Final Frontier War  :  Author, Time Travel""",Science Fiction - Space Opera,H. E. Sommers,$10.75,,282.0,Createspace Independent Publishing Platform,February 2018,,1984380354,9781984380357,8 x 5 x 0.59 inches,0.62 pounds
161,Shadow Agents  :  The Benevolency Universe,Science Fiction - Space Opera,David Alastair Hayden,$14.99,,380.0,Createspace Independent Publishing Platform,February 2018,,1985237431,9781985237438,9.02 x 5.98 x 0.78 inches,1.12 pounds
