ID,Name,Category,Author,Price,Series,Pages,Publisher,Date,Language,ISBN_10,ISBN_13,Dimensions,Weight
1697,Starship Moonhawk  :  The Admiral's Daughter,Science Fiction - Space Opera,Michael C. Prokop and Jamie Jennings,$10.95,,204.0,Moonhawk Publishing,April 2016,,0692682392,9780692682395,8 x 5 x 0.43 inches,0.45 pounds
1698,Gg-B 005  :  Die Milliardenwelt,Science Fiction - Space Opera,Wilfried a. Hary,$11.00,,160.0,Createspace Independent Publishing Platform,April 2016,,1532702108,9781532702105,7.99 x 5.24 x 0.34 inches,0.38 pounds
1699,Gg 016  :  Bio-G.A.U.,Science Fiction - Space Opera,W. a. Travers,$6.00,,66.0,Createspace Independent Publishing Platform,April 2016,,1532703015,9781532703010,7.99 x 5.24 x 0.14 inches,0.17 pounds
1700,A Princess of Mars,Science Fiction - Space Opera,Edgar Rice Burroughs,$14.99,,226.0,Createspace Independent Publishing Platform,April 2016,,1532869460,9781532869464,9 x 6 x 0.48 inches,0.68 pounds
1701,Key Out of Time,Science Fiction - Space Opera,Andre Norton,$14.99,,214.0,Createspace Independent Publishing Platform,April 2016,,1532885970,9781532885976,9 x 6 x 0.45 inches,0.64 pounds
1702,At the Earth's Core,Science Fiction - Space Opera,Edgar Rice Burroughs,$8.45,,128.0,Createspace Independent Publishing Platform,April 2016,,1532978227,9781532978227,9 x 6 x 0.27 inches,0.4 pounds
1703,Lariat Rhodes and the Perils of the Fantasy Stars,Science Fiction - Space Opera,Dane G. Kroll,$14.99,,356.0,Createspace Independent Publishing Platform,April 2016,,1530917751,9781530917754,7.99 x 5 x 0.79 inches,0.85 pounds
1704,Lords of the Host  :  Of the Right Time,Science Fiction - Space Opera,Isaac Hill Sr,$19.99,,324.0,Xlibris,April 2016,,1514468387,9781514468388,9 x 6 x 0.73 inches,1.05 pounds
1705,At Circle's End,Science Fiction - Space Opera,Ian J. Malone,$14.99,,344.0,Sharkflight Publishing,April 2016,,0989032779,9780989032773,9 x 6 x 0.77 inches,1.11 pounds
1706,"""Unknown Place, Unknown Universe  :  The Worm Hole Colonies: Prelude to the Alien Invasion Thriller""",Science Fiction - Space Opera,Lazlo Ferran and Ashley Buttle,$13.49,,312.0,Future City Publishing,April 2016,,0993595731,9780993595738,9 x 6 x 0.65 inches,0.92 pounds
1707,Out of the Embers of Hell,Science Fiction - Space Opera,J. E. Bruce,$15.99,,404.0,Booksforabuck.com,March 2016,,1602152969,9781602152960,9.02 x 5.98 x 0.83 inches,1.19 pounds
1708,Solaris Seethes,Science Fiction - Space Opera,Janet McNulty and Robert Henry,$14.99,,300.0,Mmp Publishing,March 2016,,1941488587,9781941488584,8.5 x 5.51 x 0.67 inches,0.84 pounds
