_id,ltable_ID,rtable_ID,ltable_Name,ltable_Category,ltable_Author,ltable_Price,ltable_Series,ltable_Pages,ltable_Publisher,ltable_Date,ltable_Language,ltable_ISBN_10,ltable_ISBN_13,ltable_Dimensions,ltable_Weight,rtable_Name,rtable_Category,rtable_Author,rtable_Price,rtable_Series,rtable_Pages,rtable_Publisher,rtable_Date,rtable_Language,rtable_ISBN_10,rtable_ISBN_13,rtable_Dimensions,rtable_Weight
37,890,406,STAR GATE - das Original: Die 7. Kompilation: Die Bnde 61 bis 70 der laufenden Serie STAR GATE  das Original  zusammengefasst! (STAR GATE  das Original - Kompilation) (Volume 7) (German Edition),Science Fiction : Space Opera,Wilfried A. Hary Hrsg.,$23.00,STAR GATE - das Original - Kompilation,366 pages,CreateSpace Independent Publishing Platform,"""November 7, 2017""",German,197949617X,978-1979496179,6 x 0.8 x 9 inches,1.4 pounds,"Star Gate - Das Original  :  Die 6. Kompilation: ""Die Bande 51 Bis 60 Der Laufenden Serie Star Gate - Das Original - Zusammengefasst!",Science Fiction - Space Opera,Wilfried a. Hary Hrsg,$23.00,,380.0,Createspace Independent Publishing Platform,November 2017,,1979517134,9781979517133,9 x 6 x 0.78 inches,1.12 pounds
38,604,7184,Jupiter Slingshot,Science Fiction : Space Opera,Ronnie G. Anderson,$13.95,,264 pages,CreateSpace Independent Publishing Platform,"""December 30, 2017""",English,1983429198,978-1983429194,6 x 0.6 x 9 inches,1 pounds,Reality Bites,Fantasy - Dark Fantasy,Ronnie G. Anderson,$12.95,,244.0,Createspace Independent Publishing Platform,July 2014,,1500610011,9781500610012,9 x 6 x 0.51 inches,0.73 pounds
39,2155,5287,Waiting for Halloween,Fantasy : Dark,Ronnie G. Anderson,$11.95,,224 pages,CreateSpace Independent Publishing Platform,"""October 12, 2017""",English,1978189125,978-1978189126,6 x 0.5 x 9 inches,14.1 ounces,Werewolves,Fantasy - Dark Fantasy,Ronnie G. Anderson,$10.95,,222.0,Createspace Independent Publishing Platform,October 2016,,1539308065,9781539308065,9 x 6 x 0.47 inches,0.67 pounds
40,841,789,The Guardian: Eleven science fiction short stories (Scifi Anthologies),Science Fiction : Space Opera,Alasdair Shaw and C Gold,$9.99,Scifi Anthologies (Book 3),174 pages,Alasdair C Shaw,"""November 14, 2017""",English,0995511063,978-0995511064,6 x 0.4 x 9 inches,11.4 ounces,The Officer  :  Eleven Science Fiction Short Stories,Science Fiction - Space Opera,Alasdair Shaw,$10.99,,194.0,Alasdair C Shaw,June 2017,,0995511039,9780995511033,9 x 6 x 0.41 inches,0.59 pounds
41,2217,7184,Moon Burns,Fantasy : Dark,Ronnie G. Anderson,$11.95,,224 pages,CreateSpace Independent Publishing Platform,"""October 3, 2017""",English,197790520X,978-1977905208,6 x 0.5 x 9 inches,14.1 ounces,Reality Bites,Fantasy - Dark Fantasy,Ronnie G. Anderson,$12.95,,244.0,Createspace Independent Publishing Platform,July 2014,,1500610011,9781500610012,9 x 6 x 0.51 inches,0.73 pounds
42,735,512,The Wreck: The Atlantis Chronicles (Volume 2),Science Fiction : Space Opera,Michael Brown and Myles Edmundson,$12.00,The Atlantis Chronicles (Book 2),172 pages,CreateSpace Independent Publishing Platform,"""December 4, 2017""",English,1981374531,978-1981374533,6 x 0.4 x 9 inches,11.2 ounces,Hell Sent,Science Fiction - Space Opera,Michael Brown and Myles Edmundson,$12.00,,154.0,Createspace Independent Publishing Platform,September 2017,,1976537746,9781976537745,9 x 6 x 0.33 inches,0.47 pounds
43,2155,7153,Waiting for Halloween,Fantasy : Dark,Ronnie G. Anderson,$11.95,,224 pages,CreateSpace Independent Publishing Platform,"""October 12, 2017""",English,1978189125,978-1978189126,6 x 0.5 x 9 inches,14.1 ounces,Secrets,Fantasy - Dark Fantasy,Ronnie G. Anderson,$16.95,,384.0,Createspace Independent Publishing Platform,July 2014,,1500576646,9781500576646,9 x 6 x 0.79 inches,1.13 pounds
44,2155,5202,Waiting for Halloween,Fantasy : Dark,Ronnie G. Anderson,$11.95,,224 pages,CreateSpace Independent Publishing Platform,"""October 12, 2017""",English,1978189125,978-1978189126,6 x 0.5 x 9 inches,14.1 ounces,Holy Dragonslayer,Fantasy - Dark Fantasy,Ronnie G. Anderson,$26.95,,730.0,Createspace Independent Publishing Platform,November 2016,,1539953572,9781539953579,9 x 6 x 1.46 inches,2.11 pounds
45,2155,5191,Waiting for Halloween,Fantasy : Dark,Ronnie G. Anderson,$11.95,,224 pages,CreateSpace Independent Publishing Platform,"""October 12, 2017""",English,1978189125,978-1978189126,6 x 0.5 x 9 inches,14.1 ounces,Holy Dragonlady,Fantasy - Dark Fantasy,Ronnie G. Anderson,$27.95,,732.0,Createspace Independent Publishing Platform,November 2016,,1539953785,9781539953784,9 x 6 x 1.46 inches,2.12 pounds
46,958,482,"STAR GATE 043-044: Galaxis der Prupper: ...und ""Wie das Jngste Gericht"" (STAR GATE - das Original) (Volume 43) (German Edition)",Science Fiction : Space Opera,Wilfried A. Hary,$8.95,STAR GATE - das Original,130 pages,CreateSpace Independent Publishing Platform,"""October 19, 2017""",German,1978362854,978-1978362857,5.2 x 0.3 x 8 inches,7.4 ounces,"Star Gate 043-044  :  Galaxis Der Prupper: ...Und ""Wie Das Jungste Gericht""",Science Fiction - Space Opera,Wilfried a. Hary,$8.95,,130.0,Createspace Independent Publishing Platform,October 2017,,1978362854,9781978362857,7.99 x 5.24 x 0.28 inches,0.31 pounds
47,604,523,Jupiter Slingshot,Science Fiction : Space Opera,Ronnie G. Anderson,$13.95,,264 pages,CreateSpace Independent Publishing Platform,"""December 30, 2017""",English,1983429198,978-1983429194,6 x 0.6 x 9 inches,1 pounds,The Frozen,Science Fiction - Space Opera,Ronnie G. Anderson,$14.95,,302.0,Createspace Independent Publishing Platform,September 2017,,1976477522,9781976477522,9 x 6 x 0.63 inches,0.89 pounds
48,2217,329,Moon Burns,Fantasy : Dark,Ronnie G. Anderson,$11.95,,224 pages,CreateSpace Independent Publishing Platform,"""October 3, 2017""",English,197790520X,978-1977905208,6 x 0.5 x 9 inches,14.1 ounces,Jupiter Slingshot,Science Fiction - Space Opera,Ronnie G. Anderson,$13.95,,264.0,Createspace Independent Publishing Platform,December 2017,,1983429198,9781983429194,9 x 6 x 0.55 inches,0.79 pounds
49,2217,5191,Moon Burns,Fantasy : Dark,Ronnie G. Anderson,$11.95,,224 pages,CreateSpace Independent Publishing Platform,"""October 3, 2017""",English,197790520X,978-1977905208,6 x 0.5 x 9 inches,14.1 ounces,Holy Dragonlady,Fantasy - Dark Fantasy,Ronnie G. Anderson,$27.95,,732.0,Createspace Independent Publishing Platform,November 2016,,1539953785,9781539953784,9 x 6 x 1.46 inches,2.12 pounds
50,413,7803,Privilege Abound,Science Fiction : Space Opera,Ms Ellen Elizabeth Dudley and Ms Margaret Weissman,$9.99,,160 pages,CreateSpace Independent Publishing Platform; 1 edition,"""January 31, 2018""",English,1984932683,978-1984932686,6 x 0.4 x 9 inches,10.6 ounces,Murder Inc.  :  Dystopian Society.,Thrillers - Psychological,MS Ellen Elizabeth Dudley and MS Margaret Weissman,$9.95,,174.0,Createspace Independent Publishing Platform,December 2017,,1982064722,9781982064723,9 x 6 x 0.37 inches,0.53 pounds
51,2217,5436,Moon Burns,Fantasy : Dark,Ronnie G. Anderson,$11.95,,224 pages,CreateSpace Independent Publishing Platform,"""October 3, 2017""",English,197790520X,978-1977905208,6 x 0.5 x 9 inches,14.1 ounces,Sweet Darkness,Fantasy - Dark Fantasy,Ronnie G. Anderson,$15.95,,332.0,Createspace Independent Publishing Platform,August 2016,,1537037110,9781537037110,9 x 6 x 0.69 inches,0.98 pounds
